lon,lat,Intensity
162.4,5.8,20.0
160.5,6.2,20.0
158.4,6.4,20.0
156.6,6.6,25.0
155.0,6.9,25.0
153.7,7.1,30.0
152.4,7.2,30.0
151.4,7.2,30.0
150.6,7.2,35.0
150.0,7.2,35.0
149.2,7.3,40.0
148.0,7.5,40.0
146.5,7.900000000000001,45.0
144.9,8.4,50.0
143.4,8.8,55.0
141.9,9.2,65.0
140.4,9.7,75.0
139.1,10.0,85.0
137.9,10.2,95.0
136.8,10.5,90.0
135.8,10.8,80.0
134.9,10.9,70.0
134.0,11.1,60.0
133.3,11.4,60.0
132.7,11.7,65.0
132.2,11.7,60.0
131.6,11.3,50.0
131.1,10.8,45.0
130.7,10.1,40.0
130.4,8.7,35.0
129.9,6.8,30.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
129.9,6.8,0.0
155.4,5.0,15.0
155.0,5.0,25.0
154.7,5.0,25.0
154.3,5.0,25.0
153.8,5.0,25.0
153.5,5.0,25.0
153.1,5.0,25.0
152.7,5.0,25.0
152.4,5.0,25.0
151.8,5.0,30.0
151.0,5.2,30.0
150.3,5.5,30.0
149.6,6.0,30.0
149.3,6.6,30.0
149.4,7.2,30.0
150.3,7.1,30.0
150.8,7.0,30.0
151.5,6.700000000000001,30.0
151.3,6.0,25.0
150.6,5.6,25.0
149.9,5.4,25.0
149.3,5.2,20.0
148.6,5.2,20.0
148.0,5.2,20.0
147.3,5.2,20.0
146.6,5.2,20.0
145.9,5.3,25.0
145.1,5.8,25.0
144.7,6.299999999999999,25.0
144.0,7.2,25.0
143.7,7.900000000000001,30.0
143.4,8.6,35.0
142.9,9.3,40.0
142.4,9.8,40.0
140.7,10.3,35.0
141.0,10.6,30.0
140.2,10.8,30.0
139.3,11.0,25.0
138.4,11.2,25.0
137.7,11.4,25.0
137.3,11.8,25.0
136.3,12.6,25.0
135.0,13.0,25.0
133.7,13.3,25.0
132.5,13.7,25.0
131.6,13.9,25.0
130.6,14.0,25.0
129.9,14.0,25.0
129.2,14.1,25.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
129.2,14.1,0.0
116.8,19.1,25.0
116.4,18.8,25.0
115.9,18.7,25.0
115.3,18.7,30.0
114.6,19.2,30.0
114.2,19.7,30.0
113.7,20.3,30.0
112.8,20.8,35.0
111.8,21.3,30.0
110.8,21.9,25.0
109.7,22.5,25.0
108.3,23.0,20.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
108.3,23.0,0.0
149.7,10.0,15.0
148.1,10.1,15.0
146.6,10.2,20.0
145.1,10.3,20.0
143.7,10.8,20.0
142.2,10.9,25.0
140.7,11.2,25.0
139.4,11.6,25.0
138.3,12.1,30.0
137.4,12.5,35.0
136.7,13.0,45.0
136.2,13.3,45.0
135.8,13.8,55.0
135.3,14.3,65.0
135.0,14.9,65.0
134.6,15.6,70.0
134.2,16.4,75.0
133.9,17.3,75.0
133.4,18.3,70.0
132.8,19.4,65.0
132.0,20.7,65.0
131.5,22.0,60.0
131.3,23.3,55.0
131.4,24.9,55.0
131.7,26.7,45.0
132.6,28.3,40.0
134.6,29.8,35.0
137.6,31.0,35.0
141.2,32.0,30.0
144.9,32.4,25.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
144.9,32.4,0.0
150.9,9.6,20.0
150.3,10.2,20.0
150.0,10.8,25.0
149.8,11.5,25.0
149.6,12.1,25.0
149.5,13.0,30.0
148.9,13.9,30.0
147.4,14.5,30.0
145.5,14.6,35.0
143.8,15.0,40.0
142.3,15.6,45.0
141.0,16.2,50.0
139.7,16.5,60.0
138.3,16.7,70.0
136.9,17.0,80.0
135.4,17.3,85.0
134.0,17.7,90.0
132.5,17.8,100.0
131.2,17.9,110.0
129.9,17.9,120.0
128.8,17.8,130.0
128.0,17.6,125.0
127.3,17.6,120.0
126.8,17.9,120.0
126.6,18.5,115.0
126.4,19.2,105.0
126.2,19.9,95.0
126.0,20.9,90.0
125.6,22.1,90.0
125.3,23.4,90.0
125.2,24.7,90.0
124.9,25.9,90.0
124.8,27.4,90.0
125.0,28.6,85.0
125.5,29.9,80.0
126.3,31.9,80.0
127.2,34.4,70.0
128.2,36.8,55.0
129.4,39.0,40.0
130.6,40.9,35.0
131.7,42.7,30.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
131.7,42.7,0.0
145.9,9.2,25.0
144.6,10.3,25.0
143.3,11.0,25.0
142.0,11.3,25.0
140.6,11.6,25.0
139.2,11.9,30.0
137.5,12.1,30.0
135.3,12.2,30.0
133.1,12.2,35.0
131.0,12.3,35.0
129.7,12.7,35.0
128.9,13.1,35.0
128.5,13.6,40.0
128.1,14.1,45.0
127.5,15.0,50.0
126.7,15.9,55.0
125.9,16.9,60.0
125.3,18.0,65.0
124.7,18.7,65.0
124.2,19.3,65.0
123.5,20.1,60.0
123.0,21.1,55.0
122.5,22.0,55.0
122.2,23.10000000000001,50.0
121.8,24.60000000000001,45.0
121.6,26.0,35.0
121.6,27.3,30.0
121.9,28.6,25.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
121.9,28.6,0.0
191.0,4.4,20.0
189.8,4.4,20.0
188.6,4.4,20.0
187.9,4.4,20.0
185.9,4.4,20.0
184.4,4.3,20.0
182.7,4.3,20.0
180.8,4.3,20.0
178.9,4.3,20.0
177.1,4.4,25.0
175.6,5.2,30.0
174.3,6.299999999999999,35.0
173.1,7.5,35.0
171.7,8.3,40.0
170.3,9.3,45.0
168.8,10.1,45.0
167.5,10.7,45.0
165.8,10.9,45.0
164.2,10.8,50.0
162.4,10.8,50.0
160.7,11.2,55.0
159.2,11.6,60.0
157.6,12.1,65.0
156.2,12.8,70.0
154.7,13.6,75.0
153.1,14.2,85.0
151.5,15.0,95.0
150.0,15.7,105.0
148.4,16.4,110.0
146.8,17.1,115.0
145.3,17.8,120.0
143.7,18.4,125.0
142.0,18.9,125.0
140.7,19.4,120.0
139.3,20.0,115.0
138.1,20.6,115.0
136.8,21.3,120.0
135.7,22.1,115.0
134.7,23.0,110.0
133.9,23.9,110.0
133.2,24.8,105.0
132.6,25.7,100.0
132.3,26.8,95.0
132.1,27.9,85.0
132.4,29.4,75.0
133.1,30.7,65.0
134.3,31.7,60.0
135.9,32.2,55.0
138.3,32.2,60.0
140.8,32.3,60.0
143.1,32.3,55.0
145.5,32.5,50.0
147.8,32.6,45.0
150.2,32.7,45.0
152.2,33.6,45.0
153.6,35.0,40.0
154.2,36.2,30.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
154.2,36.2,0.0
